Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,TempWater,TempWater Provider
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197102,Water - Precipitation - rain,1971-02-15,1971-02-01,1971-02-28,,-0.02,University of Copenhagen,,,22,1,International Atomic Energy Agency,28,26.8,28.4,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197103,Water - Precipitation - rain,1971-03-15,1971-03-01,1971-03-31,,1.64,University of Copenhagen,,,23.6,6,International Atomic Energy Agency,11,28.6,31.1,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197104,Water - Precipitation - rain,1971-04-15,1971-04-01,1971-04-30,,0.33,University of Copenhagen,,,36.4,1.8,International Atomic Energy Agency,31,29.7,33.5,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197105,Water - Precipitation - rain,1971-05-15,1971-05-01,1971-05-31,,-4.38,University of Copenhagen,,,30.7,1.5,International Atomic Energy Agency,236,29.3,33.4,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197106,Water - Precipitation - rain,1971-06-15,1971-06-01,1971-06-30,,-2.39,University of Copenhagen,,,28.9,1.5,International Atomic Energy Agency,82,28.8,31.7,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197107,Water - Precipitation - rain,1971-07-15,1971-07-01,1971-07-31,,-5.91,University of Copenhagen,,,31.2,1.5,International Atomic Energy Agency,179,28.3,30.9,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197108,Water - Precipitation - rain,1971-08-15,1971-08-01,1971-08-31,,-9.18,University of Copenhagen,,,26.7,1.7,International Atomic Energy Agency,352,28.2,31.1,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197109,Water - Precipitation - rain,1971-09-15,1971-09-01,1971-09-30,,-9.18,University of Copenhagen,,,22.1,1,International Atomic Energy Agency,383,28.6,31.9,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197110,Water - Precipitation - rain,1971-10-15,1971-10-01,1971-10-31,,-10.17,University of Copenhagen,,,16,0.8,International Atomic Energy Agency,177,27.7,29.9,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197111,Water - Precipitation - rain,1971-11-15,1971-11-01,1971-11-30,,,,,,,,,3,25.5,23.5,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197112,Water - Precipitation - rain,1971-12-15,1971-12-01,1971-12-31,,,,,,,,,1,26.1,25.6,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197201,Water - Precipitation - unspecified (not reported),1972-01-15,1972-01-01,1972-01-31,,,,,,,,,,25.3,22.5,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197202,Water - Precipitation - rain,1972-02-15,1972-02-01,1972-02-29,,3.88,University of Copenhagen,,,18.5,1,International Atomic Energy Agency,20,27.9,29.2,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197203,Water - Precipitation - rain,1972-03-15,1972-03-01,1972-03-31,,-0.36,University of Copenhagen,,,45.8,1.9,International Atomic Energy Agency,17,28.1,29.2,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197204,Water - Precipitation - rain,1972-04-15,1972-04-01,1972-04-30,,-5.95,University of Copenhagen,,,16.5,0.9,International Atomic Energy Agency,147,29.1,32.6,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197205,Water - Precipitation - rain,1972-05-15,1972-05-01,1972-05-31,,-4.84,University of Copenhagen,,,31,1.4,International Atomic Energy Agency,55,30.8,32.7,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197206,Water - Precipitation - rain,1972-06-15,1972-06-01,1972-06-30,,,,,,17.6,0.9,International Atomic Energy Agency,128,29.2,32.4,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197207,Water - Precipitation - rain,1972-07-15,1972-07-01,1972-07-31,,-4.33,University of Copenhagen,,,36.4,1.6,International Atomic Energy Agency,70,29.2,32.3,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197208,Water - Precipitation - rain,1972-08-15,1972-08-01,1972-08-31,,-4.49,University of Copenhagen,,,17.4,0.9,International Atomic Energy Agency,157,28.7,30.9,,
