Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,Alkalinity,Alkalinity Provider
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201507,Water - Precipitation - rain,2015-07-15,2015-06-27,2015-07-31,,-0.04,International Atomic Energy Agency,13,International Atomic Energy Agency,,,,18.4,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201508,Water - Precipitation - rain,2015-08-15,2015-07-31,2015-08-28,,2.51,International Atomic Energy Agency,26.6,International Atomic Energy Agency,,,,7.3,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201509,Water - Precipitation - rain,2015-09-15,2015-08-28,2015-09-29,,-0.25,International Atomic Energy Agency,11.4,International Atomic Energy Agency,,,,132.3,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201510,Water - Precipitation - rain,2015-10-15,2015-09-29,2015-10-28,,-3.91,International Atomic Energy Agency,-17.7,International Atomic Energy Agency,,,,200.7,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201511,Water - Precipitation - rain,2015-11-15,2015-10-28,2015-11-27,,-3.64,International Atomic Energy Agency,-15.6,International Atomic Energy Agency,,,,173,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201512,Water - Precipitation - rain,2015-12-15,2015-11-27,2015-12-29,,-1.01,International Atomic Energy Agency,6.9,International Atomic Energy Agency,,,,127.5,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201601,Water - Precipitation - rain,2016-01-15,2015-12-29,2016-01-31,,0.52,International Atomic Energy Agency,19.8,International Atomic Energy Agency,,,,89.7,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201602,Water - Precipitation - rain,2016-02-15,2016-01-31,2016-02-29,,0.09,International Atomic Energy Agency,17.7,International Atomic Energy Agency,,,,136.8,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201603,Water - Precipitation - rain,2016-03-15,2016-02-29,2016-03-31,,-1.77,International Atomic Energy Agency,1.7,International Atomic Energy Agency,,,,128,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201604,Water - Precipitation - rain,2016-04-15,2016-03-31,2016-04-30,,,,,,,,,158.8,,,,
