Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198009,Water - Precipitation - rain,1980-09-15,1980-09-01,1980-09-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-6.91,Helmholtz-Forschungszentrum,-45.8,Helmholtz-Forschungszentrum,47.2,5.8,Bundesanstalt fuer Gewaesserkunde,80.2,12.9,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198010,Water - Precipitation - rain,1980-10-15,1980-10-01,1980-10-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-15.21,Helmholtz-Forschungszentrum,-112.9,Helmholtz-Forschungszentrum,43.6,6,Bundesanstalt fuer Gewaesserkunde,141,6.5,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198011,"Water - Precipitation - rain & snow (""mixed"")",1980-11-15,1980-11-01,1980-11-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-18.3,Helmholtz-Forschungszentrum,-138.1,Helmholtz-Forschungszentrum,43.1,6,Bundesanstalt fuer Gewaesserkunde,73.5,0.3,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198012,"Water - Precipitation - rain & snow (""mixed"")",1980-12-15,1980-12-01,1980-12-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-14.48,Helmholtz-Forschungszentrum,-106.4,Helmholtz-Forschungszentrum,45.4,5.7,Bundesanstalt fuer Gewaesserkunde,106.6,-4.2,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198101,"Water - Precipitation - rain & snow (""mixed"")",1981-01-15,1981-01-01,1981-01-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-14.09,Helmholtz-Forschungszentrum,-104.2,Helmholtz-Forschungszentrum,33.1,2.5,Bundesanstalt fuer Gewaesserkunde,161.4,-4.8,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198102,"Water - Precipitation - rain & snow (""mixed"")",1981-02-15,1981-02-01,1981-02-28,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-14.68,Helmholtz-Forschungszentrum,-115.3,Helmholtz-Forschungszentrum,39.4,2.3,Bundesanstalt fuer Gewaesserkunde,47.7,-3.9,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198103,"Water - Precipitation - rain & snow (""mixed"")",1981-03-15,1981-03-01,1981-03-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-12.36,Helmholtz-Forschungszentrum,-95.8,Helmholtz-Forschungszentrum,41.2,2.5,Bundesanstalt fuer Gewaesserkunde,98.6,4.7,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198104,"Water - Precipitation - rain & snow (""mixed"")",1981-04-15,1981-04-01,1981-04-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-9.65,Helmholtz-Forschungszentrum,-72.2,Helmholtz-Forschungszentrum,80.4,3.1,Bundesanstalt fuer Gewaesserkunde,54.6,7.8,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198105,Water - Precipitation - rain,1981-05-15,1981-05-01,1981-05-31,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-12.06,Helmholtz-Forschungszentrum,-89.8,Helmholtz-Forschungszentrum,84.8,3.4,Bundesanstalt fuer Gewaesserkunde,125.3,11.4,
GNIP,GNIP/M/DE/02,GARMISCH-PARTENKIRCHEN,DE,1096300,47.4828,11.0622,719,Precipitation collectors - unknown,"[Partners: Deutscher Wetterdienst; Helmholtz-Zentrum, Muenchen; BAFG, Koblenz], [Reference: Stumpp et al. 2014], [Reference: Schmidt et al. 2020]",198106,Water - Precipitation - rain,1981-06-15,1981-06-01,1981-06-30,Stable isotope record revised by Stumpp et al. 2014. Meteorological data revised based on DWD climatic archives in 2014.,-7.65,Helmholtz-Forschungszentrum,-56.5,Helmholtz-Forschungszentrum,96.9,3.6,Bundesanstalt fuer Gewaesserkunde,98.7,14.3,
